District,Commodity,Arrival_Date,Min_Price,Max_Price,Modal_Price
Chengalpattu,Arhar (Tur/Red Gram)(Whole),2024-12-25,6500.0,7000.0,7000.0
Coimbatore,Arhar (Tur/Red Gram)(Whole),2024-11-25,5500.0,6000.0,6000.0
Dharmapuri,Arhar (Tur/Red Gram)(Whole),2024-12-25,6500.0,7000.0,7000.0
Dharmapuri,Arhar (Tur/Red Gram)(Whole),2024-11-25,6500.0,7000.0,7000.0
Dharmapuri,Arhar (Tur/Red Gram)(Whole),2024-12-25,5200.0,5500.0,5500.0
Krishnagiri,Arhar (Tur/Red Gram)(Whole),2024-12-25,4500.0,5000.0,5000.0
Krishnagiri,Arhar (Tur/Red Gram)(Whole),2024-10-25,6000.0,7000.0,7000.0
Krishnagiri,Arhar (Tur/Red Gram)(Whole),2024-11-25,5000.0,6000.0,6000.0
Krishnagiri,Arhar (Tur/Red Gram)(Whole),2024-12-25,5500.0,6000.0,6000.0
Ranipet,Arhar (Tur/Red Gram)(Whole),2024-11-25,7000.0,8000.0,8000.0
Ranipet,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6000.0,6000.0
Salem,Arhar (Tur/Red Gram)(Whole),2024-11-25,6000.0,6500.0,6500.0
Salem,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6500.0,6500.0
Salem,Arhar (Tur/Red Gram)(Whole),2024-12-25,7000.0,8000.0,8000.0
Salem,Arhar (Tur/Red Gram)(Whole),2024-12-25,7000.0,7500.0,7500.0
Theni,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6000.0,6000.0
Theni,Arhar (Tur/Red Gram)(Whole),2024-12-25,5500.0,6000.0,6000.0
Thirupathur,Arhar (Tur/Red Gram)(Whole),2024-12-25,5000.0,6000.0,6000.0
Thirupathur,Arhar (Tur/Red Gram)(Whole),2024-12-25,7000.0,7000.0,7000.0
Thiruvannamalai,Arhar (Tur/Red Gram)(Whole),2024-12-25,5000.0,6000.0,6000.0
Thiruvannamalai,Arhar (Tur/Red Gram)(Whole),2024-12-25,5000.0,6000.0,6000.0
Thiruvannamalai,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,7000.0,7000.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6000.0,6000.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-11-25,6000.0,6000.0,6000.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6500.0,6500.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-12-25,8000.0,8000.0,8000.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-12-25,6000.0,6500.0,6500.0
Vellore,Arhar (Tur/Red Gram)(Whole),2024-11-25,6800.0,6800.0,6800.0
Ariyalur,Ashgourd,2024-10-25,2000.0,2400.0,2400.0
Chengalpattu,Ashgourd,2024-11-25,1500.0,2000.0,2000.0
Chengalpattu,Ashgourd,2024-08-25,1500.0,2000.0,2000.0
Chengalpattu,Ashgourd,2024-09-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-12-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-08-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-11-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-09-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-10-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-09-25,1200.0,1500.0,1500.0
Chengalpattu,Ashgourd,2024-08-25,1500.0,1800.0,1800.0
Chengalpattu,Ashgourd,2024-11-25,1500.0,1800.0,1800.0
Chengalpattu,Ashgourd,2024-12-25,1500.0,2000.0,2000.0
Chengalpattu,Ashgourd,2024-12-25,2200.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-08-25,1200.0,1500.0,1500.0
Chengalpattu,Ashgourd,2024-08-25,1500.0,1800.0,1800.0
Chengalpattu,Ashgourd,2024-10-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-08-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-11-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-12-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-09-25,2000.0,2500.0,2500.0
Chengalpattu,Ashgourd,2024-08-25,2500.0,3000.0,3000.0
Chengalpattu,Ashgourd,2024-11-25,2000.0,2000.0,2000.0
Chengalpattu,Ashgourd,2024-09-25,2500.0,3000.0,3000.0
Chengalpattu,Ashgourd,2024-10-25,1500.0,2000.0,2000.0
Chengalpattu,Ashgourd,2024-12-25,2500.0,2500.0,2500.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-10-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-09-25,1500.0,1800.0,1800.0
Coimbatore,Ashgourd,2024-12-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,2200.0,2600.0,2600.0
Coimbatore,Ashgourd,2024-08-25,1600.0,2000.0,2000.0
Coimbatore,Ashgourd,2024-09-25,1200.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-12-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-10-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,2500.0,3000.0,3000.0
Coimbatore,Ashgourd,2024-09-25,1500.0,2000.0,2000.0
Coimbatore,Ashgourd,2024-12-25,1500.0,2000.0,2000.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-10-25,1200.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-09-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1400.0,1400.0
Coimbatore,Ashgourd,2024-12-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,2200.0,2600.0,2600.0
Coimbatore,Ashgourd,2024-10-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-10-25,1600.0,1800.0,1800.0
Coimbatore,Ashgourd,2024-11-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,2500.0,2800.0,2800.0
Coimbatore,Ashgourd,2024-09-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-12-25,1500.0,1800.0,1800.0
Coimbatore,Ashgourd,2024-11-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-12-25,1600.0,1800.0,1800.0
Coimbatore,Ashgourd,2024-08-25,2600.0,3000.0,3000.0
Coimbatore,Ashgourd,2024-09-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-09-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1400.0,1400.0
Coimbatore,Ashgourd,2024-08-25,2200.0,2600.0,2600.0
Coimbatore,Ashgourd,2024-10-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-12-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,1000.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-09-25,1000.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-11-25,1200.0,1500.0,1500.0
Coimbatore,Ashgourd,2024-10-25,1400.0,1800.0,1800.0
Coimbatore,Ashgourd,2024-12-25,1200.0,1400.0,1400.0
Coimbatore,Ashgourd,2024-12-25,1600.0,2000.0,2000.0
Coimbatore,Ashgourd,2024-10-25,1400.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-08-25,2200.0,2600.0,2600.0
Coimbatore,Ashgourd,2024-09-25,1200.0,1600.0,1600.0
Coimbatore,Ashgourd,2024-11-25,1400.0,1600.0,1600.0
Cuddalore,Ashgourd,2024-08-25,3500.0,3500.0,3500.0
Cuddalore,Ashgourd,2024-09-25,2500.0,2500.0,2500.0
Cuddalore,Ashgourd,2024-10-25,2000.0,2000.0,2000.0
Cuddalore,Ashgourd,2024-11-25,2000.0,2000.0,2000.0
Cuddalore,Ashgourd,2024-12-25,2500.0,2500.0,2500.0
Cuddalore,Ashgourd,2024-11-25,3000.0,3000.0,3000.0
Cuddalore,Ashgourd,2024-09-25,2500.0,3000.0,3000.0
Cuddalore,Ashgourd,2024-10-25,2000.0,2000.0,2000.0
Cuddalore,Ashgourd,2024-12-25,2500.0,2500.0,2500.0
Cuddalore,Ashgourd,2024-09-25,2000.0,2000.0,2000.0
